Event URL,Program Name,Day of Week,Start Date,End Date,Time,Location,Address,Area,Language,Audience,Subjects
https://booking.biblioottawalibrary.ca/en/event/sensory-storytime-contes-sensoriels,Sensory Storytime | Contes Sensoriels,Saturday,17-May-25,7-Jun-25,10:30,Elmvale Acres,1910 St-Laurent,South - Alta Vista,Bilingual,Family,Family storytime
https://booking.biblioottawalibrary.ca/en/event/techno-buddies-j,Techno Buddies J,Saturday,17-May-25,17-May-25,11:00,Carlingwood,281 Woodroffe,West - Nepean,English,Adults 50-plus,Computers and technology
https://booking.biblioottawalibrary.ca/en/event/rubiks-cubes-bh-rubiks-cubes-%C3%A0-bh,Rubik's Cubes at BH,Saturday,17-May-25,17-May-25,11:00,Blackburn Hamlet,199 Glen Park,East - Orleans,Bilingual,"Child, Family, Teen","Games and Gaming, Hobbies and Interests"
https://booking.biblioottawalibrary.ca/en/event/sensory-storytime-7,Sensory Storytime,Saturday,17-May-25,21-Jun-25,14:00,Carlingwood,281 Woodroffe,West - Nepean,English,"Child, Family, Preschool",Family storytime
https://booking.biblioottawalibrary.ca/en/event/native-plant-gardening-ottawa-wildflower-seed-library,Native Plant Gardening with Ottawa Wildflower Seed Library,Saturday,17-May-25,17-May-25,14:00,Stittsville,1637 Stittsville Main,West - Stittsville,English,"Adult, Adults 50-plus",Home and garden
https://booking.biblioottawalibrary.ca/en/event/get-crafty-brico-en-f%C3%AAte-19,Get crafty!,Saturday,17-May-25,17-May-25,14:30,Cumberland,1599 Tenth Line,East - Orleans,Bilingual,Child,Arts and Crafts
https://booking.biblioottawalibrary.ca/en/event/game-123-au-jeu-9,"Game On! | 1,2,3... Au jeu!",Saturday,17-May-25,6-Dec-25,14:30,Elmvale Acres,1910 St-Laurent,South - Alta Vista,Bilingual,Child,Games and Gaming
https://booking.biblioottawalibrary.ca/en/event/crafternoon-bricofolie-20,Crafternoon | Bricofolie,Saturday,17-May-25,17-May-25,15:00,Blackburn Hamlet,199 Glen Park,East - Orleans,Bilingual,"Child, Family","Arts and Crafts, Hobbies and Interests, Social Connections"
https://booking.biblioottawalibrary.ca/en/event/monday-director-spotlight-lee-chang-dong-oasis,Monday Director Spotlight - Lee Chang-dong - Oasis,Monday,19-May-25,19-May-25,18:00,Main,120 Metcalfe,Central,English,Adult,Film and Movie Showing
https://booking.biblioottawalibrary.ca/en/event/north-gloucester-book-club-2,North Gloucester Book Club,Tuesday,20-May-25,16-Dec-25,11:00,North Gloucester,2036 Ogilvie,East - Vanier,English,"Adult, Adults 50-plus",Book Clubs
