category,department,url
Departmental Result Reports 2023-24,Impact Assessment Agency of Canada,https://www.canada.ca/en/impact-assessment-agency/corporate/transparency/accountability-performance-financial-reporting/2023-2024-departmental-results-report/departmental-results-report.html
Departmental Result Reports 2023-24,Indigenous Services Canada,https://www.sac-isc.gc.ca/eng/1722362717567/1722362748441
Departmental Result Reports 2023-24,"Innovation, Science and Economic Development Canada",https://ised-isde.canada.ca/site/planning-performance-reporting/en/departmental-results-reports/2023-24-departmental-results-report
Departmental Result Reports 2023-24,Invest in Canada Hub,https://www.investcanada.ca/transparency/2023-24-departmental-results-report-0
Departmental Result Reports 2023-24,Library and Archives Canada,https://library-archives.canada.ca/eng/corporate/transparency/reports-publications/departmental-results-reports/2023-2024-drr/Pages/2023-2024-drr.aspx
Departmental Result Reports 2023-24,Law Commission of Canada,https://www.canada.ca/en/law-commission-canada/corporate-documents/department-results-report-2023-34.html
Departmental Result Reports 2023-24,Military Grievances External Review Committee,https://www.canada.ca/en/military-grievances-external-review/corporate/departmental-results-reports/2023-2024-at-a-glance/2023-2024-full-report.html
Departmental Result Reports 2023-24,Military Police Complaints Commission of Canada,https://www.mpcc-cppm.gc.ca/corporate-organisation/reports-rapports/departmental-results-report-rapport-resultats-ministeriels/departmental-results-report-rapport-resultats-ministeriels-2023-2024-eng.html
Departmental Result Reports 2023-24,National Defence and the Canadian Armed Forces,https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-results-report/2023-24-index.html
Departmental Result Reports 2023-24,National Film Board,https://www.canada.ca/en/national-film-board/corporate/publications/plans-reports/departmental-results-reports/2023-2024/departmental-results-reports-2023-2024.html
Departmental Result Reports 2023-24,National Research Council of Canada,https://nrc.canada.ca/en/corporate/planning-reporting/national-research-council-canadas-2023-24-departmental-results-report
Departmental Result Reports 2023-24,National Security and Intelligence Review Agency,https://nsira-ossnr.gc.ca/en/publications/secretariat-operations/departmental-results-report-2023-24/
Departmental Result Reports 2023-24,Natural Resources Canada,https://natural-resources.canada.ca/corporate/planning-reporting/departmental-results-reports/2023-24-departmental-results-report
Departmental Result Reports 2023-24,Natural Sciences and Engineering Research Council of Canada,https://www.nserc-crsng.gc.ca/NSERC-CRSNG/Reports-Rapports/DRR/2023-2024/report-rapport_eng.asp
Departmental Result Reports 2023-24,Northern Pipeline Agency Canada,https://northern-pipeline.canada.ca/reports-and-publications/northern-pipeline-agency-reports/drr-2023-2024/northern-pipeline-agency-s-2023-24-departmental-results-report
Departmental Result Reports 2023-24,Office of the Chief Electoral Officer,https://www.elections.ca/content.aspx?section=res&dir=rep/dpr/drr2024&document=index&lang=e
Departmental Result Reports 2023-24,Office of the Commissioner for Federal Judicial Affairs Canada,https://www.fja.gc.ca/publications/dpr-rmr/2023-2024/drr-rrm-eng.html
Departmental Result Reports 2023-24,Office of the Commissioner of Lobbying of Canada,https://lobbycanada.gc.ca/en/reports-and-publications/departmental-results-report-2023-24/
Departmental Result Reports 2023-24,Office of the Commissioner of Official Languages,https://www.clo-ocol.gc.ca/en/transparency/departmental-results-reports/2023-2024-departmental-results-report
Departmental Result Reports 2023-24,Office of the Correctional Investigator Canada,https://oci-bec.gc.ca/en/content/2023-24-departmental-results-report
Departmental Result Reports 2023-24,Office of the Information Commissioner of Canada,https://www.oic-ci.gc.ca/en/resources/reports-publications/2023-24-departmental-results-report
Departmental Result Reports 2023-24,Office of the Intelligence Commissioner,https://www.canada.ca/en/intelligence-commissioner/corporate-management-reporting/departmental-results-reports/2023-2024-departmental-results-report.html
Departmental Result Reports 2023-24,Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca/en/about-the-opc/opc-operational-reports/reporting-of-opc-spending/drr_index/2023-2024/drr_2023-24/
Departmental Result Reports 2023-24,Office of the Public Sector Integrity Commissioner of Canada,https://psic-ispc.gc.ca/en/resources/corporate-publications/2023-24/departmental-results-report
Departmental Result Reports 2023-24,Office of the Registrar of the Supreme Court of Canada,https://www.scc-csc.ca/resources-ressources/reports-rapports/performance-rendement/2023-2024-departmental-ministeriels/
Departmental Result Reports 2023-24,Pacific Economic Development Canada,https://www.canada.ca/en/pacific-economic-development/corporate/transparency/departmental-results-report/drr-2023-2024.html
Departmental Result Reports 2023-24,Parks Canada,https://parks.canada.ca/agence-agency/bib-lib/rapports-reports/rmr-dpr/coupdoeil-2023-2024-glance/resultats-ministeriels-departmental-results
Departmental Result Reports 2023-24,Parole Board of Canada,https://www.canada.ca/en/parole-board/corporate/transparency/reporting-to-canadians/departmental-performance-report/2023-24/2023-24-departmental-results-report.html
Departmental Result Reports 2023-24,Patented Medicine Prices Review Board Canada,https://www.canada.ca/en/patented-medicine-prices-review/corporate/transparency/departmental-results-report/drr-2023-24-full-page.html
Departmental Result Reports 2023-24,Polar Knowledge Canada,https://www.canada.ca/en/polar-knowledge/reports/departmental-results-report/2023-2024/departmental-results-report-2023-2024-full-plan.html
Departmental Result Reports 2023-24,Prairies Economic Development Canada,https://www.canada.ca/en/prairies-economic-development/corporate/transparency/departmental-results-report/drr-2023-2024.html
Departmental Result Reports 2023-24,Privy Council Office,https://www.canada.ca/en/privy-council/corporate/transparency/reporting-spending/departmental-results-reports/2023-2024/report.html
Departmental Result Reports 2023-24,Public Health Agency of Canada,https://www.canada.ca/en/public-health/corporate/transparency/corporate-management-reporting/departmental-performance-reports/2023-2024.html
Departmental Result Reports 2023-24,Public Prosecution Service of Canada,https://www.ppsc-sppc.gc.ca/eng/pub/drr-rrm/2023_2024/index.html
Departmental Result Reports 2023-24,Public Safety Canada,https://www.publicsafety.gc.ca/cnt/rsrcs/pblctns/dprtmntl-rslts-rprt-2023-24/index-en.aspx
Departmental Result Reports 2023-24,Public Service Commission of Canada,https://www.canada.ca/en/public-service-commission/services/publications/departmental-results-report-2023-2024/full-report.html
Departmental Result Reports 2023-24,Public Services and Procurement Canada,https://www.canada.ca/en/public-services-procurement/corporate/transparency/departmental-results-report/2023-24.html
Departmental Result Reports 2023-24,RCMP External Review Committee,https://www.canada.ca/en/rcmp-external-review-committee/corporate/reports-information-resources/departmental-results-reports/departmental-results-report-2023-24.html
Departmental Result Reports 2023-24,Royal Canadian Mounted Police,https://rcmp.ca/en/corporate-information/publications-and-manuals/departmental-results-reports/2023-2024/full-report
Departmental Result Reports 2023-24,Secretariat of the National Security and Intelligence Committee of Parliamentarians,https://www.canada.ca/en/secretariat-national-security-intelligence-committee-parliamentarians/corporate/transparency/departmental-results-report/2023-2024/report.html
Departmental Result Reports 2023-24,Shared Services Canada,https://www.canada.ca/en/shared-services/corporate/publications/2023-24/departmental-results-report-2023-24.html
Departmental Result Reports 2023-24,Social Sciences and Humanities Research Council of Canada,https://www.sshrc-crsh.gc.ca/about-au_sujet/publications/drr/2023-2024/drr-rrm-eng.aspx
Departmental Result Reports 2023-24,Statistics Canada,https://www.statcan.gc.ca/en/transparency-accountability/corporate-management-reporting/departmental-results-report/2023-2024
Departmental Result Reports 2023-24,The National Battlefields Commission,https://www.canada.ca/en/national-battlefields-commission/corporate/publications/plans-reports/departmental-results-reports/departmental-result-report-2023-2024.html
Departmental Result Reports 2023-24,Transport Canada,https://tc.canada.ca/en/corporate-services/transparency/corporate-management-reporting/departmental-results-reports-drr/2023-24-departmental-results-report
Departmental Result Reports 2023-24,Transportation Safety Board of Canada,https://www.bst-tsb.gc.ca/eng/publications/rmr-dpr/2024/rmr-dpr-2024.html#0.0
Departmental Result Reports 2023-24,Treasury Board of Canada Secretariat,https://www.canada.ca/en/treasury-board-secretariat/corporate/reports/treasury-board-canada-secretariat-2023-24-departmental-results-report-at-glance/treasury-board-canada-secretariat-2023-24-departmental-results-report.html
Departmental Result Reports 2023-24,Veterans Affairs Canada,https://veterans.gc.ca/en/about-vac/reports-policies-and-legislation/departmental-reports/departmental-results-reports/departmental-results-report-2023-2024
Departmental Result Reports 2023-24,Veterans Review and Appeal Board,https://vrab-tacra.gc.ca/en/about-us/plans-and-reports/departmental-results-reports/vrab-s-2023-24-departmental-results-0
Departmental Result Reports 2023-24,Women and Gender Equality Canada,https://www.canada.ca/en/women-gender-equality/transparency/departmental-results-reports/2023-2024.html
