Latitude,Longitude,OBJECTID,PARK_ID,FACILITYID,Name,Address,Washroom,Picnic Table,Zip Line,Baby Swing,Water Play,Water Fountain,Fenced area,Accessibility,Base,Parking,Note
45.2883025,-75.7060861,637,1637,35469,Rosetta Park,31 Rosetta Avenue,TBD,TBD,TBD,TBD,TBD,TBD,No,TBD,TBD,TBD,
45.3267022,-75.7652925,71,952,32049,Roundhay Park / Starwood Park,31 Roundhay Drive,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3649685,-75.721196,1543,65,31082,Fisher Heights Park,31 Sutton Place,TBD,TBD,TBD,Yes,TBD,TBD,No,TBD,TBD,TBD,
45.2458392,-75.9100981,1193,1732,35247,Upcountry Park,310 Upcountry Drive,TBD,TBD,TBD,TBD,Splash Pad,TBD,TBD,TBD,TBD,TBD,
45.3526399,-75.8139338,1557,186,31240,Andrew Haydon Park,3127 Carling Avenue,Yes - Permanent,Yes - Not Covered,No,No,None,Yes - Permanent,No,None,Sand,Yes,The splash beside is spray only. Lots of climbing structures on the park to the east. Huge walkable area
45.2691251,-75.7508696,347,531,31656,McKenna Park / Jockvale Heritage Building,3131 Jockvale Road,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
45.2684512,-75.8839784,1031,2585,35917,Mark Yakabuski Park,315 Haliburton Heights,No,Yes - Covered,No,Yes,Splash Pad,No,No,Accessible swing,Mulch,No,
45.2336257,-75.4165638,1577,1213,32319,Kenmore Bicentennial Park,3151 York's Corners Rd,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3481536,-75.6830004,177,1122,35481,Uplands Park,3165 Uplands Drive,No,Yes - Not Covered,No,Yes,None,No,No,Accessible swing,Multiple,No,Tennis Courts and Basketball Hoop
45.4546779,-75.4789779,746,2120,36237,Aquaview Park,318 Aquaview Drive,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.27894,-75.7459251,1105,1320,32334,North Harrow Park,32 North Harrow Drive,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.4414535,-75.6587443,1286,1033,35140,Nault Park,325 St. Denis Street,TBD,TBD,TBD,Yes,Splash Pad,TBD,Yes,TBD,TBD,TBD,Partially fenced
45.2563021,-75.7334312,833,2394,35237,Tucana Park,325 Tucana Way,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
45.3519451,-75.8299278,1558,187,32654,Dick Bell Park,3259 Carling Avenue,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
45.2502278,-75.9190105,1066,374,31480,Mary Durling Park,33 Brae Crescent,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3414561,-75.7337932,87,433,31562,Glenmanor Park,33 Glenmanor Drive,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.4254264,-75.6561841,164,873,31985,Overbrook Park,33 Quill Street,TBD,TBD,TBD,Yes,TBD,TBD,No,TBD,TBD,TBD,
45.1978742,-75.8438068,770,506,31635,Richmond Lions Community Park,3302 Huntley Road,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
45.3512174,-75.6742752,678,806,31917,McCarthy Park,3320 Paul Anka Drive,Yes - Permanent,Yes - Not Covered,No,No,Splash Pad,Yes,No,None,Multiple,Yes,"Washrooms and water fountain in adjacent community centre, plenty of trees for shade"
45.3151635,-75.6956925,285,923,32025,Eccolands Park,334 River Road,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3486736,-75.6716326,685,1118,32233,Paul Landry Park,3345 Uplands Drive,No,No,Yes,Yes,None,No,No,Accessible swing,Multiple,No,
45.2719031,-75.6771888,680,2623,52263,Memorial Grove Park,335 Memorial Grove,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.1432736,-75.5953653,547,133,31177,Bramble Lane Park - Ridgewood Tot Lot,3366 Bramble Lane,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3504192,-75.6355884,531,307,31474,Sawmill Creek Pool Park,3380 D'Aoust Avenue,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3181486,-75.9401318,969,2542,52933,Richardson Heritage Park,34 Arkose Street,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3050095,-75.9069455,1265,315,31380,Rowe Park,341 Davis Avenue,No,No,No,No,None,No,No,None,Sand,No,
45.3405235,-75.8079778,913,1620,32008,Valleystream Park,3412 Richmond Road,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.4021223,-75.7028018,229,99,31123,Dalhousie South Park,343 Bell Street South,TBD,TBD,TBD,TBD,TBD,TBD,Yes,TBD,TBD,TBD,
45.2593169,-76.0616335,980,768,31875,Carrol Homestead Community Park / Corkery Community Centre,3447 Old Almonte Road,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3039899,-75.8807877,694,824,31936,Irwin Gate Park,345 Pickford Drive,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.4775094,-75.5030714,134,842,31958,Queenswood Ridge Park,346 Kennedy Lane East,Yes - Seasonal,Yes - Covered,TBD,Yes,Splash Pad,No,No,Accessible swing and structure with ramp,Multiple,Yes,
45.436604,-75.6913664,125,150,31202,Bordeleau Park,349 Bruyère Street,No,Yes - Not Covered,Yes,Yes,Splash Pad,No,No,TBD,TBD,No,
45.2526881,-75.7441314,831,2388,36202,River Run Park,3490 River Run Avenue,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
45.3685177,-75.6406285,893,2462,57133,Hunt Club Gate Park,350 Macoun Circle,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.2529722,-75.7345312,1535,2448,58603,Minto Recreation Complex - Barrhaven,3500 Cambrian Road,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
45.4513472,-75.6508801,1484,244,31319,Alvin Heights Park,352 London Terrace,TBD,TBD,TBD,Yes,TBD,TBD,Yes,TBD,TBD,TBD,
45.2533296,-75.7371518,390,2389,35411,Half Moon Bay Park,3525 Cambrian Road,TBD,Yes - Covered,TBD,Yes,Splash Pad,No,No,TBD,TBD,No,Soccer field and a pond which often has ducks in it
45.2766929,-75.864668,351,2426,36217,Brigitta Park,354 Brigitta Street,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
45.4372391,-75.6551238,49,574,31698,Janeville Park,355 Iberville Street,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3447021,-75.6595343,428,990,32090,Windsor Park Gloucester,3560 Wyman Place,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3463615,-75.6451914,63,1111,32224,Trappers Park,3580 Trapper's Road,No,No,No,Yes,None,No,No,None,Mulch,Yes,Note from a Mom: The neighborhood children trash this park daily. Avoid at all costs
45.4404359,-75.3425807,571,970,32071,Yves Chénier Park,3585 Sarsfield Road,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.4201125,-75.4214989,1365,267,31341,Navan Centennial Park,3591 Wickham Court,TBD,TBD,TBD,Yes,TBD,TBD,Yes,TBD,TBD,TBD,
45.2673396,-75.7129403,307,1656,32777,Berry Glen Park,36 Berry Glen Street,No,Yes - Covered,No,Yes,None,No,No,None,Sand,No,
45.3279977,-75.7862946,163,2513,53655,Trend Park,36 Canfield Road,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.44911,-75.6499016,449,692,31793,Hemlock Park,361 Meadow Park Place,TBD,TBD,TBD,Yes,TBD,TBD,Yes,TBD,TBD,TBD,
45.4720403,-75.4990606,1220,955,32051,Mayfair Park,361 Roxdale Avenue,TBD,TBD,TBD,Yes,TBD,TBD,Yes,TBD,TBD,TBD,
45.3617345,-75.6380793,295,160,31217,Greenboro Park and Community Centre,363 Lorry Greenberg Drive,Yes - Permanent,Yes - Covered,No,Yes,Splash Pad and wading pool,Yes,No,None,Sand,Yes,Washrooms and water fountain in the adjacent community centre
45.4275383,-75.491958,1603,744,51517,Notre-Dame-des-Champs Park,3659 Navan Road,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.401449,-75.7302198,423,793,31891,Parkdale Park,366 Parkdale Avenue,Yes - Seasonal,Yes - Covered,No,Yes,Wading Pool,No,Yes,None,Sand,TBD,Washrooms are open when the farmer's market is open
