Event URL,Program Name,Day of Week,Start Date,End Date,Time,Location,Address,Area,Language,Audience,Subjects
https://booking.biblioottawalibrary.ca/en/event/dungeons-and-dragons-teens-trouble-dragonsbourne-1,Dungeons and Dragons for Teens: Trouble in Dragonsbourne,Saturday,17-Jan-26,14-Mar-26,13:30,Carlingwood,281 Woodroffe,West - Nepean,English,Teen,Games and Gaming
https://booking.biblioottawalibrary.ca/en/event/tales-old-time-historical-fiction-book-club,Tales As Old as Time - Historical Fiction Book Club,Saturday,17-Jan-26,14-Mar-26,14:00,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,"Adult, Adults 50-plus",Book Clubs
https://booking.biblioottawalibrary.ca/en/event/armchair-travel-iceland-2,Armchair Travel - Iceland,Saturday,17-Jan-26,17-Jan-26,14:00,Nepean Centrepointe,101 Centrepointe,West - Nepean,English,"Adult, Adults 50-plus",Hobbies and Interests
https://booking.biblioottawalibrary.ca/en/event/atelier-d%E2%80%99%C3%A9criture-pour-les-jeunes%E2%80%AF-atelier-d%C3%A9criture-pour-humains-robots-interdits-avec-0,"Atelier d’écriture pour les jeunes : Atelier d'écriture pour humains, robots interdits avec Pierre-Luc Bélanger",Saturday,17-Jan-26,17-Jan-26,14:00,Cumberland,1599 Tenth Line,East - Orleans,Français,"Child, Teen",Writing and poetry
https://booking.biblioottawalibrary.ca/en/event/draw-davinci-9,Draw Like DaVinci,Saturday,17-Jan-26,17-Jan-26,14:00,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,Child,"Arts and Crafts, Kids"
https://booking.biblioottawalibrary.ca/en/event/destress-dogs-d%C3%A9stresser-avec-des-chiens-1,Destress with Dogs! | Déstresser avec des chiens!,Saturday,17-Jan-26,17-Jan-26,14:00,Main,120 Metcalfe,Central,Bilingual,Teen,Health and wellness
https://booking.biblioottawalibrary.ca/en/event/tween-gaming,T(w)een Gaming,Saturday,17-Jan-26,16-May-26,14:30,Rosemount,18 Rosemount,West - Nepean,Bilingual,"Child, Teen",Games and Gaming
https://booking.biblioottawalibrary.ca/en/event/sensory-storytime-13,Sensory Storytime,Saturday,17-Jan-26,07-Mar-26,14:30,Beaverbrook,2500 Campeau,West - Kanata,English,"Child, Family",Storytime
https://booking.biblioottawalibrary.ca/en/event/lego-block-party-26,Lego Block Party,Saturday,17-Jan-26,07-Mar-26,14:30,Emerald Plaza,1547 Merivale,West - Nepean,English,"Child, Family, Preschool",Hobbies and Interests
https://booking.biblioottawalibrary.ca/en/event/adult-10-chess-club,Adult & 10+ Chess Club,Saturday,17-Jan-26,29-Aug-26,15:00,Alta Vista,2516 Alta Vista,South - Alta Vista,English,Adult,Games and Gaming
