Date,Hours,Playgroup Name,Location Name,Location Address,Area,Registration Required,Language,URL,Organizer,Age Group,Time of Day,Day of Week
2023-12-01,10:15 - 11:30,Indoor Playgroup,City View Centre,1099 Longfields Dr.,West,No,English,https://www.cityviewcentre.ca/playgroups,City View Centre,Kids,Morning,Friday
2023-12-01,11:00 - 11:45,Storytime Ikea,Ikea,3rd floor at the back of the restaurant,West,No,English,http://www.pqchc.com/children-family-services/early-on/,PQCHC,Kids,Morning,Friday
2023-12-01,12:00 - 15:00,EarlyON Playgroup,Carlington Community Health Centre,900 Merivale,West,No,English,https://carlingtonchc.com/programs-and-services/families/earlyon-and-child-playgroups/,Carlington CHC,Kids,Afternoon,Friday
2023-12-01,13:00 - 14:00,Baby & Me Yoga (6 weeks to 6 months),Centretown Community Health Center,420 Cooper St.,Central,Yes,English,https://www.centretownchc.org/calendar,Centretown CHC,Babies,Afternoon,Friday
2023-12-01,13:00 - 14:15,Multicultural Newcomer Drop-In (OCCSC),Western Ottawa Community Resource Centre,2 MacNeil Court,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Afternoon,Friday
2023-12-01,13:00 - 15:00,Indigenous Wellness Circle (0-6 years),Parent Resource Centre,300 Goulburn Cr,Central,Yes?,English,https://parentresource.ca/earlyon-programs-and-services/,PRC,Kids,Afternoon,Friday
2023-12-01,13:00 - 15:00,Baby and me,Western Ottawa Community Resource Centre,2 MacNeil Court,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Babies,Afternoon,Friday
2023-12-01,13:00 - 15:00,Playgroup (0-6 years),Parent Resource Centre,300 Goulburn Cr,Central,No,English,https://parentresource.ca/earlyon-programs-and-services/,PRC,Kids,Afternoon,Friday
2023-12-01,13:15 - 15:15,Playgroup (0-6 years),Holy Trinity Catholic High School,180 Katimavik Road (entrance on McGibbon Drive),West,No,English,https://www.ocsb.ca/parents/child-care/,OCSB,Kids,Afternoon,Friday
2023-12-01,13:15 - 15:15,Baby and Me Playgroup (0-18 months),St. Peter High School,750 Charlemagne Boulevard,East,No,English,https://www.ocsb.ca/parents/child-care/,OCSB,Babies,Afternoon,Friday
2023-12-01,13:30 - 15:30,Baby & Me,Don Reid,2330 Don Reid Dr.,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Babies,Afternoon,Friday
2023-12-01,13:30 - 15:30,Into the Woods,Riverside,Meet by the path in the parking lot of Riverside United Church, 3191 Riverside,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Afternoon,Friday
