Sort Order,Day of week,Time of day,Pool Name,Address,Area,Swim Type,Reservation Required?,URL
2,Tuesday,14:30 - 15:30,François Dupuis Recreation Centre,2263 Portobello Boulevard,East - Orleans,Lane Swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/francois-dupuis-recreation-centre
2,Tuesday,14:30 - 15:30,François Dupuis Recreation Centre,2263 Portobello Boulevard,East - Orleans,Public Swim - Therapeutic Pool Only,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/francois-dupuis-recreation-centre
2,Tuesday,15:00 - 16:00,Richcraft Recreation Complex-Kanata,4101 Innovation Drive,West - Kanata,Preschool swim,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/richcraft-recreation-complex-kanata
2,Tuesday,16:00 - 17:00,Deborah Anne Kirwan Pool,1300 Kitchener Avenue,South,50+ Swim ,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/deborah-anne-kirwan-pool
2,Tuesday,16:00 - 17:00,Pinecrest Recreation Complex,2250 Torquay Avenue,West - Nepean,Lane swim,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/pinecrest-recreation-complex
2,Tuesday,16:00 - 17:00,Plant Recreation Centre,930 Somerset Street West,Central,Public swim - leisure pool only,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/plant-recreation-centre
2,Tuesday,16:30 - 21:00,Splash Wave Pool,2040 Ogilvie Road,East,Public swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/splash-wave-pool
2,Tuesday,17:00 - 21:00,Kanata Leisure Centre and Wave Pool,70 Aird Place,West - Kanata,Hot Tub and Sauna ,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/kanata-leisure-centre-and-wave-pool
2,Tuesday,18:00 - 19:30,Plant Recreation Centre,930 Somerset Street West,Central,Public swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/plant-recreation-centre
2,Tuesday,18:45 - 20:45,Minto Recreation Complex - Barrhaven,3500 Cambrian Road,West - Barrhaven,Public Swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/minto-recreation-complex-barrhaven
